,track_id,singer,song_name,duration
0,5gSYmTVASekarEoK4puiRD,Diana Krall,Night And Day,278293
1,7i9RIEuPvpQ8NtfI0dSJeK,Melody Gardot,If You Love Me,274397
2,5ShdF7P8hl40IhvhoTnVyx,Laura Fygi,La vie en rose,227953
3,3KMeqdGzrtxXGa5oRwZFGQ,Laura Benanti,Go Slow,264653
4,4TUYXBMD004ZwWTeYcynFH,Diana Krall,Autumn In New York,319226
5,3azuowB4mADwvYCumctRrs,Nicole Henry,Moon River,310826
6,4G9VMvXRpOqyMIEaqjaZz2,Scott Bradlee's Postmodern Jukebox,I Only Have Eyes for You,192000
7,2hzSfNfX8TI4uzPsq8W4OI,Matt Dusk,All Because Of You,215666
8,0Kws2a2GfsZlMKzdYm5aeC,Karen Souza,THERE YOU ARE (SECOND CHANCE),213476
9,3iLubgTcHY4ozbOLgfE8ZN,Gregory Porter,If Love Is Overrated,353723
10,0p5hnLhOSlRpn8BMYEed4Q,Barry Manilow,Moonlight Becomes You,207733
11,40DjEEXkrujfsOjeOwwis0,"Harry Connick, Jr.",Mind If I Make Love To You,209040
12,3lxhuJetgOct3FN47LvZmO,Anthony Strong,I Can't Give You Anything,318980
13,7C7KLdwjjIvCWcxPwmgvaV,Nicki Parrott,I Will Wait For You,330746
14,4oXcpRZGwElyGPcIxLwvBC,Sarah McKenzie,My True Love Is You,192531
15,226aNk2hiOlW3joJHIvSVe,Cyrille Aimee,Loving You,171949
16,0DHyfTHCTvbeVJyXIzVhlq,Sachal Vasandani,Unforgettable,176495
17,7p9OLeV07n0tIQJS649Nus,Gregory Porter,But Beautiful,271413
18,76UAKQQF3AylDr39Sm9uY6,Beegie Adair,That’s My Desire,296586
19,7d5WHGfv4DqTWtjQGHrwij,Kat Gang,People Will Say We're In Love,178426
20,76yEA3sMcI9sWuV2xr3pdd,Karen Souza,My One and Only Love,280706
21,7IUYvQDgywrHpTehfaHOvc,Flora Martínez,You Belong to My Heart - Solamente Una Vez,163043
22,2wZTxjnKdOpgPLi85ItFlr,Cécile McLorin Salvant,One Step Ahead,129127
23,3WKcw4BjJjHxQlXXc9Izgn,Stacey Kent,In the Wee Small Hours of the Morning,206000
24,43b0lDxUoOWdsMWrdfT6hY,Bryan Ferry,As Time Goes By,154360
25,4y8icjzu6fZP503Mg31Tpn,Ella Fitzgerald,My Romance,224226
26,1lk5RIC2NMUMLgyOVMSCKs,Nancy Wilson,The Nearness of You,178960
27,6XmN8QIxuZt8ljcnaPmhOM,Steve Tyrell,Sunday Kind of Love,211360
28,1my1nf6O10GIZEZRp2Cxv7,Elisabeth Melander,Like Someone in Love,265746
29,3rSygnXIRbxtJ9suj12MqW,Seal,My Funny Valentine,272085
30,0yKhFtDzzxV1t0VpM37uLp,Stacey Kent,Photograph,367213
31,01hJnhpAmjzg85Etnz2ECH,Tony Bennett,Body and Soul,200586
32,4OPXzKlS84fnRcZI3Kv5S6,Katharine McPhee,All the Way,235866
33,7p3AeUfrHFKdBuyVTXwXKW,Eliane Elias,Little Paradise,299506
34,1yvDZeqobR7Pv6ZRVHtT9j,Lyambiko,There Is No Greater Love,327000
35,0aDYgrKSaZwVWKfMPJSXZQ,Macy Gray,First Time,251020
36,202Ep1DlFXuCTSssanwLW2,Bria Skonberg,Dance Me to the End of Love,336373
37,5MC9fQiDNNfIbh8BiNwVjC,Nicki Parrott,I Walk A Little Faster,233120
38,1BjuoBaLDhofPLTJ4x6oy0,Gregory Porter,Smile,257533
39,2ofpYfMA5QKWkyuZmSId8R,Carol Welsman,Bewitched,229365
40,7dju3RZcfdg2uGikXpWUQC,Nicole Henry,Make It Last,316440
41,4JEC2RIrXV1owJNVKanIAT,Michael Bublé,On an Evening in Roma (Sott'er Celo de Roma),162520
42,70gk9Y6aKEdWiASuu59T7Q,Gregory Porter,L-O-V-E,128520
43,4fT0kbU0e5AxBgCt84qOzC,Ellen Andersson,I'll Be Seeing You,367453
44,1vsZD1hVHW7BU4FOIYkO5R,Sarah McKenzie,I'm Old Fashioned,284133
45,1Bh6O68WlWPtnm7aFIJBHL,Karrin Allyson,Everytime We Say Goodbye,361306
46,6hKvRPUWKXik0wl3EW7TW2,Diana Krall,Dream,243480
47,4TaFVK9pEO6Wo3cFhRC0CQ,Jamison Ross,These Things You Are to Me,262573
48,3noDxclU0hTMOCZJJu6vi6,Sinne Eeg,Hours Of Ours,347493
49,3PTD2eturmZsdedW6reT1p,Catherine Russell,Don't Take Your Love From Me,292288
50,5KC32YrLNFpjDrjz37KIrK,Natalie Cole,Our Love Is Here To Stay,209960
51,5QyNvhoW9N0xzrzc5uNZKc,The Hot Sardines,Sweet Pea,141640
52,7wwDhqPS3gxRDenfX2GtiT,Renee Olstead,When I Fall in Love (feat. Chris Botti),283093
53,4w1IwCOEWobiZUh5uA35GZ,Kat Gang,Then I'll Be Tired of You,373946
54,6YCIFKFWx0pxMEUl8Vko6l,Kristin Chenoweth,Let’s Fall In Love,189360
55,27MP3QeTblV0W6ZnDtBk5r,Carol Welsman,Memories of You,290653
56,0QR4BgqJvmtqQH7OoTQWIJ,Matt Dusk,Deep in a Dream,245666
57,4FYmHTavxSVFUPyM2GUpPb,Cécile McLorin Salvant,Monday,120973
58,79Ri3SefpPjDQXFMYfGghm,Nnenna Freelon,The Very Thought of You,361253
59,5MtTR1jjNpaYbutc0ZY6hp,Ruth Cameron,A Sunday Kind Of Love,292973
