,track_id,singer,song_name,duration
0,2Wu8pRt6ecpSYnCsz2P8A4,THE WLDLFE,You Don't Love Me (Like You Used To),266155
1,3Gi5i1ZxO2TIZ0MmAsoUI2,joan,brokenhearted,212106
2,2esqfaQ1qUwVQB4bl5Vc70,Scarypoolparty,Return2Sender,288192
3,38YUiPZdeg1DDX8d6eV5Gi,Kevin Paris,Loneliness,286250
4,7pV0Yzu2NWogAAVHc9uSIt,Mokita,down,194680
5,4HzmjPPHHiYwrXPq9Tv1fx,Nick Wilson,Everybody But Me,184633
6,3UOvd4bfGqepCVx4EJLy57,Wild Rivers,Thinking 'Bout Love - Acoustic,184064
7,4CxFN5zON70B3VOPBYbd6P,Jeremy Zucker,you were good to me,219146
8,0VhgEqMTNZwYL1ARDLLNCX,James Arthur,Can I Be Him,246880
9,4IhAzl3KH8P7KFJ5KfBnvy,Júníus Meyvant,Pearl in Sandbox,403693
10,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,Someone You Loved,182160
11,5kbvuQrcegmVBgAjcRB9h2,Axel Flóvent,Tourist,224996
12,1vxkXq9ifXIGRqntjvdg3G,Russ,Some Time,197320
13,3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,245425
14,5Bb88WRO4906ngHGMvkv4P,Candlebox,Cover Me,285546
15,2Wgh2GmDV3g9IZTCuAUkYf,Blind Melon,Mouthful Of Cavities,214800
16,3CRtbOoAP82y0VbPO5j1ft,Sasha Sloan,Too Sad To Cry,208986
17,3BQHpFgAp4l80e1XslIjNI,The Beatles,Yesterday - Remastered 2009,125666
18,0jllH0usRFD4LJkJnGK9Lf,Olivia O'Brien,Complicated,189000
19,5JCi3pyggvk4B0yd0BK3ow,Tove Lo,Stay High - Habits Remix,258386
20,1hnSI4JaTQybQXqvzQX3nl,Linn Brikell,All Falls Down,209669
21,2lJOKBuPgR9vcD4PLxTakY,Shawn Mendes,Mercy - Acoustic Guitar,221200
22,7e4Pftu2tzDeY0W0690OKQ,Thomas Daniel,What About Us - Acoustic,255510
23,1wnioGPj5J5DbBDTZ0zUk9,Porcelain Heart,Attention,228716
24,1dZyuawBYgIUKKevMXr8St,Sunset & Highland,Congratulations - Acoustic,237251
25,5b5TFxOActpzojAUxDwP92,Tore Bojsten,Sleep Deprived,173900
26,4J87Y0ggs18DNP7XMn3f0X,Boreal,Make Me (Cry) - Acoustic,181821
