,track_id,singer,song_name,duration
0,2Wq70oxNy3i4KOW175fUs2,Ava Cerasoli,Reveries,215703
1,3pJnfyKoVePwVmljB6Wun1,Stephan Moccio,Sea Change,171213
2,4gp5cj5GLbJddPV8Ftphb1,Mino Monterosso,All that Glitters,161073
3,3I3WY0C7AQMe6Z6hMUQqd5,Eric Badanti,Vals De Rodrigues,161209
4,0N2rkPnpGdWSP9xotxYl2F,Jill Corazina,Melts Into Air,166727
5,3xE0JN7dBupo1lrr6WvZSl,Sean Oban,Ripples,132000
6,13MOQ6oQqkrZEDkZOHukCw,Ólafur Arnalds,We Contain Multitudes (from home),190500
7,5LS7VV5Gp3evv8pjcpTDDu,Pamela Goldings,Young Love,143500
8,0CoSBNNeO8JgayAfLttECk,Ever So Blue,Onthou,128333
9,4Uke8Qv2jsLGq2pKSXjSXO,Jenny Lange,Wheels in Motion,188624
10,4YxLJVcYXgN1Kxb67BvxEZ,Atticus Laines,Softly Spoken,136691
11,1rIlWy93o6je85WpMpxg6Y,Julian Ellwood,Heart Questions,141286
12,1xvQ1dL7KqGKWxqR0dkSeY,Moldoveanu,Belle Chose,160624
13,3c0jigaQuhR3R4c6RGX6Ao,Alfons Daiminger,the time has come,146810
14,6bt1Qb3CCzQkXkXu3FzEeX,Damien Jeunet,Waiting,164100
15,5uPgn899inp8HOHHzwUQhG,Niall Byrne,Sonder,137793
16,2lxGdnAk0OiFAZTy5lKyKn,Ricki Westberg,Closer,140000
17,3dS8RW1e5gd5rbSmNjDAPe,Zuzana Kudová,Prozatím,123500
18,3U5RTSxDKkhA6rtHEXpI6H,Alexander Descartes,La Storia,164842
19,6qeY26kCmlIzpLZVibJU4M,Wolfgang Schulmann,Der Vogel auf dem Felsen,140170
20,3qOEq8x1ayOUmvcEvzkPux,Eik Octobre,Lonely Children,164000
21,3I7JFFCxYmFnhU5qrsIpZo,Ludwig Bern,Der Wandervogel,160368
22,3yhqUuC2ahWeC8PP4mj5Gl,C.J. Wilkins,Older,165903
23,3eMTcFDfBkdUxzRDAb8Krs,Tosh Møller,Alene uden dig,157500
24,2irbT1BSYaIEF44PlyKaoM,praam,æfre,186331
25,0dLptfXupd4zsgppQgrvVO,Alfred Mizzi,Sinkadus,152812
26,3q257jNovvy9u7dW3BOo4u,Massimo Corciani,Le parole non bastano,151944
27,1vViUoB7DpXUX10isPj7YL,Danielle Fleur,Time is the Longest Distance,124452
28,3iNliE9VdKaPmpUangZfTB,Stephan Moccio,Lumière,251600
29,789zWw6YwOpoDXoyRXaG1R,Nelson Haynes,Blue River,201000
30,6KZtv7JVe8fKXaIHPj3Gb2,Joy Meyer-Williams,The Dreams We Left Behind,182663
31,4XnsaU3RkUS7o0nqLIUqW7,James DiResta,Beneath Your Smile,286250
32,59qHsSncWfBdugXAp2E5AH,Chad Lawson,I Wrote You A Song,183055
33,2sXivDlzfbHQAPrGYKhWbP,Ossie Woods,Le Beau,205302
34,6mib8jl6fASfaAahkDoCr8,Pontus De Bjorn,Agile,206250
35,0RgAkhVOWf3CZnWtFA1891,Alavilla Mailla,Scenery,137819
36,6L73Pb4dv5p9OOlY1ja32c,Maura Bellucci,Sagittabondo,133500
37,6j6bxCtwV7aw6cQk9HVTor,Olim,Sioux,126857
38,2oBPx5k5ejQcgzyDMoRlAU,Stephan Moccio,Freddie's Theme,135360
39,2DEvpe8l6pxp7izgwcxMiu,Maya Wilkes,For a While,135711
40,4lW3rjqwKidfd3gpEiXFSZ,Pontiver Bogross,Träumerin,202500
41,5zz75ole7gzWU3YhOHgx4P,Patrick Hamilton,Winged Melancholy,139680
42,6yYoUYbduiDFv2Ed8U6GOE,Gjermund,Shy Paws,150967
43,1HNMaNRnCVbX3ZtW92QsyZ,Comet Blue,Where The Clouds Go,148625
44,15BXZpDEzGSoKRdqvEieXQ,Ever So Blue,Remembering,121423
45,4Eq7aF59snLVoxPKUAHhUz,Robert Gafforelli,Silhouette,212374
46,7hGdGIg5Q7E1ojq7zWIbft,The Masked Pianoman,Coziness,120504
47,7zuK6SB9iQN17ZLOdCcCjd,Ivan Blois,Close To You,127500
48,6z80w3KsiHTJioRQYGlPDx,Jean DeVoite,A Quiet Triumph,124175
49,4VWzleChE2O0hOED8WSwN8,Christopher Dicker,Sun Burst,143773
50,3AogJjKJYSIEiXx8Xfq9Z9,Mauro Cangemi,Continuo,134216
51,1z2q4Dmj24cBFnkkV0GPli,Niels Saunders,Memory Lane,138179
52,5EOANVSfg3dX4zE4Askrau,Amity Fall,Duende,151458
53,1ElNuIHucvUavBEg4IFtSx,Bernadine Richter,Sweet Cherie,187000
54,2xfXbJK08v7gZb9YvPr0UZ,Edgar De Vries,Sunset Aglow,162624
55,7dpxclo5KDKQ00MtYe1nOP,Waltzin,Watching You In The Morning,124250
56,2VrSJrGv8MBnQY5M6OkeeB,Friedrich Hauser,verträumt,175066
57,7JinB2F0516WbcPMtFepu6,Calan McIntyre,Connemara,187250
58,3Ts6C6TMvIzPIvdudMX7bH,Jesse Brown,Whispered Winds,148843
59,4ynA4JLwQIRfIhPuOLVoHZ,Patricia Sevin,Choices,118714
60,2FGyZllOwDIALirU4HK6hZ,Josh Kramer,Enouement,134307
61,52bXR3beVhKroLAvB2lsRm,Eric Sebastian,Simple Suggestions,251500
62,7cewGJQD5mApwm7C4O4CJg,Peter Cavallo,Mother,166812
63,3InuCiZ2PhLlZ11eYaL9z2,Monique Galant,Fairytale,151799
64,3utSs25tLqIPeLegK7MRiT,Dawn Geller,Green Meadow,171583
65,35ZsQf6ONY4YYxyyr0Kj2o,Samuel Félix,Départ,190574
66,4tZrXQIEgv3dydaHjKL6Le,Ragnar Seaholm,Steady The Ship,156000
67,1PW5iY60ZqzBqU5OXpiX4N,Frederiq,Softly,144750
68,5YZpHsggUWJwLirje3LvqH,Guiseppe Amilcare,Alla fine insieme (Together at Last),128015
69,0auem6mJ0CQFwX2Ycvd9Jd,Luis Álvarez,Cloud Postcards,160790
70,4W5voTvwyWCra3bqLGatqA,Khanipova,A Certainty,157242
71,2lwkWns2UHsmppqcpjIl5R,Joy Meyer-Williams,As We Fall In Love Again,170250
72,1gkpIkLr2tEheFDpavWsBD,Jef Martens,What The Rain Whispered Softly,120125
73,4vLkjOq0df258sEL7zrtE0,Abel Laloux,Chronostasis,154624
74,72UycaVaeALTUfRyR74RBf,David Sato,Prologue Marlene,146857
75,7JVjcxfs9CG6Ozlmibdrkl,Stephan Moccio,Whitby,195240
76,5wFGu1dl3Lw08doFu0gVmA,Allysium,Synchronicity,189250
77,0kvEiW0fbL26tJwHXaZDPh,Antoine Minot,Le Castellet,237924
78,3JRe26tZFIC2y3suUKrJiu,Doeke,Vogeltrek,134660
79,2raTq4pOKZfeg2h61gnI0L,Zdenek Lemelin,Des ponts plutôt que des murs,148000
80,1g0Zj4GZ229O647Tt3RPJ2,Olim,Time,124655
81,5bAeFY9aWmcu0PKqDfUNgc,Edvard Kravchuk,Moment of Silence,213066
