,ids,singer,song_name,duration
0,606My3emF3bjCSeMPieuVm,Akano,"Kawaki wo Ameku (From ""Domestic na Kanojo"") - Full Version",252058
1,2MMVw3XbLBGA3s4BV1Yjep,amazarashi,さよならごっこ,270880
2,1xYRSXUgIefSAmrUo4dOTS,Do As Infinity,夜鷹の夢,289533
3,6mODevpTSXW7DCiNwy6tnk,西田真由美,Secret of my Heart (第180話〜240話 ED),268170
4,6RdYQlaMCcs27y4f5uQYfZ,Sapphire,Don't Lose Your Way (Feat. NoneLikeJoshua),247800
5,0EvcAas5Xn9EMCaD2sYQyG,Ayumi Hamasaki,rainy day,241666
6,20iUoNfpjuOkOGVqy8bVAY,Sapphire,Blumenkranz,258246
7,3yMaDbsslPABLr3VJ2eevO,ShiroNeko,"Gurenge (From ""Kimetsu no Yaiba"")",236461
8,1ypGgXyVFqAW6fVedgBE8z,Aimer,Black Bird,229693
9,4pNx8RkUkN09rHZnE9II20,SawanoHiroyuki[nZk]:Uru,Binary Star,283853
10,3tAxWrO2jVGL6n8i5X8A7g,SawanoHiroyuki[nZk],Cage - NTv,279360
11,1zHJ8slPJfMz9WCDuOT064,SawanoHiroyuki[nZk]:Takanori Nishikawa,NOISEofRAIN,250026
12,2MhVSDWctOxvgSZeIxnIJ6,UVERworld,Colors of the Heart,230360
13,4tTkKK0WMe6SyRCSFCtgw8,UVERworld,Gekidou,331440
14,1HyKEziXzDtvnlg3dTLos2,Aimer,Torches,292533
15,02846iBEHz7g1pFLvpRllW,Survive Said The Prophet,MUKANJYO,192400
16,0viLuvPHY9klTMQjftf7mr,dave rodgers,DEJA VU - Extended ver.,260340
17,7M2qLDA7hAwKgyrTjJfI2C,EGOIST,名前のない怪物,317266
18,31wFi94buu7x6KeWFobOaW,Kenshi Yonezu,灰色と青 ( + 菅田将暉 ),332186
19,0GLyqTysS0DFoeKjURtB8s,TK from Ling tosite sigure,unravel,238360
20,4KqsLRDsHTHCMhH5ktgc6K,People In The Box,聖者たち,235306
21,6k6mJX7bA0VzuN2egTWYDY,amazarashi,Karapponosorani Tsubusareru,339226
22,7qHv2Q41uBorzTguYfbUOw,Österreich,無能,220200
23,5yt7bhhLkiS4YzMG0UWgjL,Harukatomiyuki,Vanilla,296480
24,64WsT14hhzXwbTEY1PntsU,ReoNa,Niji No Kanatani,293746
25,7nMyG8CJCgLweioZNOqRJc,Aimer,Through My Blood - AM,241533
26,1EJxVlb4XvtG3669TnPJXw,Pay money To my Pain,Voice,485880
27,5uugm1IEqBXrvzKW4vI8XY,Aimer,Kyoukara Omoide - Evergreen Version,302760
28,5w65rfJaQDOQ0iAhOuQqiv,majiko,Irony,244444
29,4IouQaO9GkaHC7AtMErdSa,DAOKO,打上花火,289577
30,43GUQ5FujwMeyYZ4ns0Wek,Aimer,Tiny Dancers,286573
31,2SdXNiI9ny1WunIx4A7Bjg,ヨルシカ,パレード,299740
32,6LL82izcHkjW6ugBvXq6Cz,DJ Okawari,Fragile,271547
33,15Rv21q8aQEEmOCuqxad39,H△G,ゆめわずらいのバードマン,189933
34,6epb7R9iQGdYSEp426pH5V,Cö Shu Nie,bullet,157413
35,2nX7A7RQV4xb6XAivrsQG1,Who-ya Extended,Q-vism,182666
36,1YIIJwABi2TUaP4FwMsRVT,Mree,Face My Fears - (From Kingdom Hearts III),195000
37,7f7n1LoR9fUbxU9dRLxjiD,Mree,Passion (Sanctuary),231572
38,30zcwDu5Q32IZXIwRkcWU9,Mree,Simple and Clean,251699
39,7CVug9n4FomAqQV4RCunYv,Hikaru Utada,光,308986
40,1FsgvYygSTBuurVRja00UF,Hikaru Utada,Passion,282586
41,0u2DOByL0CghKtcvSkQAiQ,Hikaru Utada,Don't Think Twice,273800
42,2ZzGJt4rMizTUhm8IHWlNT,Hikaru Utada,誓い,273613
43,6yjLhRYtb11cL6q3LrIYKa,Cö Shu Nie,red strand,240892
44,7KMXfZyjT0Q3ZjmRDvUtQY,Who-ya Extended,Synthetic Sympathy,185546
45,16bgEM81Odx5FxoPl11tAH,シェリル・ノーム starring May'n,pink monsoon,285266
46,42LW4auIqO2ILruVBBc015,シェリル・ノーム starring May'n,ダイアモンド クレバス,356173
47,6VJ32wfw1o1YET0qa5T9KG,シェリル・ノーム starring May'n,ノーザンクロス,288600
48,3ZMKHw7XUVMRrUuIdiInRe,シェリル・ノーム starring May'n,ユニバーサル・バニー,360306
49,4WU7VzsNIEyXKQMyf2JfaB,シェリル・ノーム starring May'n,射手座☆午後九時Don't be late,346893
50,5dQsd3J9Xj7ef06O9Yf0So,Maaya Sakamoto,The Garden of everything,380087
